0,1
Imagine - Remastered,https://api.spotify.com/v1/tracks/7pKfPomDEeI4TPT6EOYjn9
Fuck it I love you,https://api.spotify.com/v1/tracks/7MtVPRGtZl6rPjMfLoI3Lh
Venice Bitch,https://api.spotify.com/v1/tracks/3hwQhakFwm9soLEBnSDH17
Mariners Apartment Complex,https://api.spotify.com/v1/tracks/6OG05bPAwUuV3OMvy2Vy1P
Happiness is a butterfly,https://api.spotify.com/v1/tracks/3lG6OtGDsYAOALxEmubQQm
Bartender,https://api.spotify.com/v1/tracks/5USsRaiqL1RNKRm1fTJ3JM
Cinnamon Girl,https://api.spotify.com/v1/tracks/2mdEsXPu8ZmkHRRtAdC09e
The Next Best American Record,https://api.spotify.com/v1/tracks/7vRfxLcDDwgYW2WTrtEgUV
"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": I. Grave - Allegro di molto e con brio",https://api.spotify.com/v1/tracks/7CVSCdKA6WxNirbkKvefqf
Don't Dream It's Over,https://api.spotify.com/v1/tracks/7G7tgVYORlDuVprcYHuFJh
Make You Feel My Love,https://api.spotify.com/v1/tracks/0mqTcM8kuu2IYPotMt7AzS
Someone in the Dark,https://api.spotify.com/v1/tracks/2CxNfpTOTaThbGNGTmQ9Xg
Hotel California - 2013 Remaster,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv
Eleanor Rigby - Remastered 2009,https://api.spotify.com/v1/tracks/5GjPQ0eI7AgmOnADn1EO6Q
Liberian Girl - 2012 Remastered Version,https://api.spotify.com/v1/tracks/5OoRmdDfAiDztSwrhe7wuE
Space Oddity - 2015 Remaster,https://api.spotify.com/v1/tracks/72Z17vmmeQKAg8bptWvpVG
Love Never Felt So Good (Original Version),https://api.spotify.com/v1/tracks/7DciyLZWipMv860LBeupmK
California,https://api.spotify.com/v1/tracks/7oTE1KmtU2ml9zBhv9Reao
The Long And Winding Road - Remastered 2009,https://api.spotify.com/v1/tracks/3mlMpmY8oZIBFc39D9zLbh
"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": III. Rondo. Allegro",https://api.spotify.com/v1/tracks/5TB12l4YhrGE9q9e7xRRnN
Morphine,https://api.spotify.com/v1/tracks/5cyUiyJ9ZtQfnvFU2y31RC
Welcome To The Jungle,https://api.spotify.com/v1/tracks/0bVtevEgtDIeRjCJbK3Lmv
Starman - 2012 Remaster,https://api.spotify.com/v1/tracks/0pQskrTITgmCMyr85tb9qq
"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile",https://api.spotify.com/v1/tracks/0rG7ulopZcEhcHnyOQuQpL
Sweet Dreams (Are Made of This) - Remastered,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS
The Lady in My Life,https://api.spotify.com/v1/tracks/4OpwADjlTmeRSWHkUrGXpz
Do You Know Where Your Children Are (Original Version),https://api.spotify.com/v1/tracks/4atoBzVjNpqtfv1jyT1BS1
Stairway to Heaven - Remaster,https://api.spotify.com/v1/tracks/5CQ30WqJwcep0pYcV4AMNc
Million Dollar Man,https://api.spotify.com/v1/tracks/7LQKuOaqJrNgVIGLFnfvdn
The Way You Make Me Feel - 2012 Remaster,https://api.spotify.com/v1/tracks/0sKlV58cODrjxGFOyf9IXY
The Great Forever,https://api.spotify.com/v1/tracks/17RCZwFTsyJrVTvphwO2rl
Blue Gangsta (Original Version),https://api.spotify.com/v1/tracks/5r36hkZKxmL4gleijg8scM
Love song,https://api.spotify.com/v1/tracks/5tyMJlMqaggzvuX7TtlrTe
Eaten Alive,https://api.spotify.com/v1/tracks/79nVIfDeJU9PycV9OPGJS3
Wish You Were Here,https://api.spotify.com/v1/tracks/6mFkJmJqdDVQ1REhVfGgd1
Much Too Soon,https://api.spotify.com/v1/tracks/0U5pIKWg89q6188WGlcuKN
Fly Away,https://api.spotify.com/v1/tracks/0oleopAuBlxuq7fcFl9Ap8
"Hello, Goodbye - Remastered 2009",https://api.spotify.com/v1/tracks/0vZ97gHhemKm6c64hTfJNA
Yesterday - Remastered 2009,https://api.spotify.com/v1/tracks/3BQHpFgAp4l80e1XslIjNI
Off the Wall,https://api.spotify.com/v1/tracks/3zYpRGnnoegSpt3SguSo3W
Blue Jeans,https://api.spotify.com/v1/tracks/4RyK6N4IQ85xxLgguQAFH5
2000 Watts,https://api.spotify.com/v1/tracks/4aTYZL8uyGXAdmWOQy4Wgx
How to disappear,https://api.spotify.com/v1/tracks/4qUtC2BwFC154Ha8YQRrkk
Let It Be - Remastered 2015,https://api.spotify.com/v1/tracks/4qsVPnhbvEooD1bSNqvvh0
Price of Fame,https://api.spotify.com/v1/tracks/4xrw5lHtYDYHIFj96Tse7O
Your Song,https://api.spotify.com/v1/tracks/747fyAuUDG3feXRd6pILnx
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",https://api.spotify.com/v1/tracks/79hJaqmVdohltPBNN6BULM
Heroes - 2017 Remaster,https://api.spotify.com/v1/tracks/7Jh1bpe76CNTCgdgAdBw4Z
Sweet Child O' Mine,https://api.spotify.com/v1/tracks/7o2CTH4ctstm8TNelqjb51
I'll Be There - A Cappella,https://api.spotify.com/v1/tracks/4tzpcFxEP4tsFqzmniJrCY
